destination,location,category,description,combined_features,Hotel Name,Hotel Rating
Cox's Bazar Sea Beach,Cox's Bazar,Beach,Longest sandy sea beach in the world and popular for tourists.,Cox's Bazar Beach Longest sandy sea beach in the world and popular for tourists.,Cox's Bazar Bayview,5
Sundarbans Mangrove Forest,Khulna,Forest,Home of the Royal Bengal Tiger and popular for tourists.,Khulna Forest Home of the Royal Bengal Tiger and popular for tourists.,Khulna Lodge,5
Saint Martin's Island,Cox's Bazar,Island,Beautiful coral island with marine life and popular for tourists.,Cox's Bazar Island Beautiful coral island with marine life and popular for tourists.,Cox's Bazar Inn,3
Sajek Valley,Rangamati,Hill,Known as the roof of Rangamati and popular for tourists.,Rangamati Hill Known as the roof of Rangamati and popular for tourists.,Rangamati Villa,1
Bandarban Hills,Bandarban,Hill,"Famous for hills, tribal culture, and waterfalls and popular for tourists.","Bandarban Hill Famous for hills, tribal culture, and waterfalls and popular for tourists.",Bandarban Grand,1
Rangamati Kaptai Lake,Rangamati,Lake,Scenic hill district with Kaptai Lake and popular for tourists.,Rangamati Lake Scenic hill district with Kaptai Lake and popular for tourists.,Rangamati Heights,1
Sylhet Tea Gardens,Sylhet,Tea Garden,Surrounded by tea estates and hills and popular for tourists.,Sylhet Tea Garden Surrounded by tea estates and hills and popular for tourists.,Sylhet Grand,2
Kuakata Sea Beach,Patuakhali,Beach,"Known as Daughter of the Sea, sunrise and sunset and popular for tourists.","Patuakhali Beach Known as Daughter of the Sea, sunrise and sunset and popular for tourists.",Patuakhali Resort,3
Mahasthangarh,Bogra,Historical,Ancient city archaeological site and popular for tourists.,Bogra Historical Ancient city archaeological site and popular for tourists.,Bogra Lodge,2
Paharpur Buddhist Vihara,Naogaon,Historical,UNESCO World Heritage Buddhist monastery and popular for tourists.,Naogaon Historical UNESCO World Heritage Buddhist monastery and popular for tourists.,Naogaon Heights,4
Lalakhal River,Sylhet,River,Crystal clear blue water river and popular for tourists.,Sylhet River Crystal clear blue water river and popular for tourists.,Sylhet Lodge,1
Nilgiri Hills,Bandarban,Hill,Beautiful hill station above the clouds and popular for tourists.,Bandarban Hill Beautiful hill station above the clouds and popular for tourists.,Bandarban Lodge,1
Jaflong,Sylhet,Hill,Famous for stone collection and hills and popular for tourists.,Sylhet Hill Famous for stone collection and hills and popular for tourists.,Sylhet Bayview,1
Shat Gambuj Mosque,Bagerhat,Historical,UNESCO World Heritage Site and popular for tourists.,Bagerhat Historical UNESCO World Heritage Site and popular for tourists.,Bagerhat Royal,5
Sitakunda Eco Park,Chittagong,Forest,Eco park with hills and waterfalls and popular for tourists.,Chittagong Forest Eco park with hills and waterfalls and popular for tourists.,Chittagong Resort,3
Patenga Sea Beach,Chittagong,Beach,Popular beach near the port city and popular for tourists.,Chittagong Beach Popular beach near the port city and popular for tourists.,Chittagong Inn,2
Foy's Lake,Chittagong,Lake,Man-made lake and amusement park and popular for tourists.,Chittagong Lake Man-made lake and amusement park and popular for tourists.,Chittagong Grand,3
Bisanakandi,Sylhet,Nature,Border area with natural beauty and popular for tourists.,Sylhet Nature Border area with natural beauty and popular for tourists.,Sylhet Villa,4
Ratargul Swamp Forest,Sylhet,Forest,Bangladesh's only swamp forest and popular for tourists.,Sylhet Forest Bangladesh's only swamp forest and popular for tourists.,Sylhet Heights,2
Ahsan Manzil,Dhaka,Historical,"Pink Palace, museum in Old Dhaka and popular for tourists.","Dhaka Historical Pink Palace, museum in Old Dhaka and popular for tourists.",Dhaka Heights,1
Lalbagh Fort,Dhaka,Historical,17th-century Mughal fort complex and popular for tourists.,Dhaka Historical 17th-century Mughal fort complex and popular for tourists.,Dhaka Palace,3
Sompur Mahavihara,Naogaon,Historical,Largest Buddhist monastery in South Asia and popular for tourists.,Naogaon Historical Largest Buddhist monastery in South Asia and popular for tourists.,Naogaon Royal,1
Tanguar Haor,Sunamganj,Wetland,Bird haven and Ramsar site and popular for tourists.,Sunamganj Wetland Bird haven and Ramsar site and popular for tourists.,Sunamganj Inn,4
Sonargaon Museum,Narayanganj,Historical,Ancient capital and museum and popular for tourists.,Narayanganj Historical Ancient capital and museum and popular for tourists.,Narayanganj Inn,2
Kantaji Temple,Dinajpur,Historical,Famous terracotta Hindu temple and popular for tourists.,Dinajpur Historical Famous terracotta Hindu temple and popular for tourists.,Dinajpur Bayview,5
Cox's Bazar Sea Beach,Cox's Bazar,Beach,Longest sandy sea beach in the world and popular for tourists.,Cox's Bazar Beach Longest sandy sea beach in the world and popular for tourists.,Cox's Bazar Grand,1
Sundarbans Mangrove Forest,Khulna,Forest,Home of the Royal Bengal Tiger and popular for tourists.,Khulna Forest Home of the Royal Bengal Tiger and popular for tourists.,Khulna Villa,1
Saint Martin's Island,Cox's Bazar,Island,Beautiful coral island with marine life and popular for tourists.,Cox's Bazar Island Beautiful coral island with marine life and popular for tourists.,Cox's Bazar Heights,4
Sajek Valley,Rangamati,Hill,Known as the roof of Rangamati and popular for tourists.,Rangamati Hill Known as the roof of Rangamati and popular for tourists.,Rangamati Palace,1
Bandarban Hills,Bandarban,Hill,"Famous for hills, tribal culture, and waterfalls and popular for tourists.","Bandarban Hill Famous for hills, tribal culture, and waterfalls and popular for tourists.",Bandarban Palace,2
Rangamati Kaptai Lake,Rangamati,Lake,Scenic hill district with Kaptai Lake and popular for tourists.,Rangamati Lake Scenic hill district with Kaptai Lake and popular for tourists.,Rangamati Resort,1
Sylhet Tea Gardens,Sylhet,Tea Garden,Surrounded by tea estates and hills and popular for tourists.,Sylhet Tea Garden Surrounded by tea estates and hills and popular for tourists.,Sylhet Royal,2
Kuakata Sea Beach,Patuakhali,Beach,"Known as Daughter of the Sea, sunrise and sunset and popular for tourists.","Patuakhali Beach Known as Daughter of the Sea, sunrise and sunset and popular for tourists.",Patuakhali Inn,2
Mahasthangarh,Bogra,Historical,Ancient city archaeological site and popular for tourists.,Bogra Historical Ancient city archaeological site and popular for tourists.,Bogra Grand,2
Paharpur Buddhist Vihara,Naogaon,Historical,UNESCO World Heritage Buddhist monastery and popular for tourists.,Naogaon Historical UNESCO World Heritage Buddhist monastery and popular for tourists.,Naogaon Bayview,2
Lalakhal River,Sylhet,River,Crystal clear blue water river and popular for tourists.,Sylhet River Crystal clear blue water river and popular for tourists.,Sylhet Lodge,2
Nilgiri Hills,Bandarban,Hill,Beautiful hill station above the clouds and popular for tourists.,Bandarban Hill Beautiful hill station above the clouds and popular for tourists.,Bandarban Palace,3
Jaflong,Sylhet,Hill,Famous for stone collection and hills and popular for tourists.,Sylhet Hill Famous for stone collection and hills and popular for tourists.,Sylhet Lodge,5
